FID,TBBH,POINT_X,POINT_Y
295,1171,40451354.276600003000000,3581275.235400000100000
296,1171,40451353.416599996000000,3581261.906400000200000
297,1171,40451353.219700001000000,3581258.855700000200000
298,1171,40451293.350900002000000,3581245.480700000200000
299,1171,40451295.937799998000000,3581233.083699999800000
300,1171,40451314.407799996000000,3581237.178299999800000
301,1171,40451312.615500003000000,3581245.559599999800000
302,1171,40451311.747000001000000,3581253.215200000000000
303,1171,40451303.377999999000000,3581251.952500000100000
304,1171,40451292.561300002000000,3581250.058300000100000
305,1171,40451293.350900002000000,3581245.480700000200000
